index,sha256,filename,path,lectures,topics,relevance
65,a9e85e361a460ebb144384a1be5a82a6309b0a1017260fcde1adb0d81bf81cfe,Causes-of-Hypoxemia-Table-Compact.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Causes-of-Hypoxemia-Table-Compact.png,"P35 - Acute Respiratory Failure | P7 - Gas Exchange, Part 2 - Causes of Hypoxemia",hypoxemic respiratory failure | V/Q mismatch | diffusion impairment | shunt,"Compact comparison of hypoventilation, V/Q mismatch, diffusion defect, and shunt supports type 1 mechanism localization."
66,dcdbac33bce158062ca36ed910faf8ef337c4bb661dcff95d4d678151fb97e97,Central-Respiratory-Control.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Central-Respiratory-Control.png,P8 - Control of Ventilation | P9 - Pulmonary Physiology Review | Pulmonary - Comprehensive Study Guide,Central Respiratory Control,Visually verified course-aligned reference for Control of Ventilation: Central Respiratory Control.
67,793c29650f14f15d751154879b5990fe4133d70be0a8376549f1f590c73b54af,central-sleep-apnea.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/central-sleep-apnea.jpg,P21 - Overview of Sleep Disorders,CSA | diagnostic tracing | respiratory effort,Tracing shows simultaneous loss of airflow and respiratory effort in CSA.
68,bd49920669238cf5e4a4af34c698ba7eb79aaa8fa7c7c100564bb01c9b41cf59,centriacinar-vs-panacinar-emphysema.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/centriacinar-vs-panacinar-emphysema.png,P19 - Obstructive Diseases and Airway Diseases | P20 - Radiology of Obstructive Lung Disease | P39 - Clinical Pathology & Imaging - Interactive Workshop,emphysema | centriacinar | panacinar,Directly compares smoking-associated centriacinar disease with alpha-1 antitrypsin-associated panacinar disease.
69,8c05d03ad5b124dbcf711eb67f9909b41d661a5aa70f8ed424fa42d9da36a34f,changes-in-fev1-with-smoking.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/changes-in-fev1-with-smoking.png,P15 - Approach to the Patient with Respiratory Disease and Pulmonary Preventative Care,smoking | FEV1 | smoking cessation,Graph shows accelerated FEV1 decline with continued smoking and the benefit of cessation.
70,fb7a0b02e72fada579c9d5f28cb14a80c46b2787afa7aa28b9c0754a66cf1ed9,Chemoreceptor-Activity-Table.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Chemoreceptor-Activity-Table.png,P11 - Physiology Practice Question Review | P8 - Control of Ventilation | P9 - Pulmonary Physiology Review,Chemoreceptor Activity Table,Visually verified course-aligned reference for Physiology Practice Question Review: Chemoreceptor Activity Table.
71,a5bfa65b25724d706fd25d0a058f0a6c0521919eb106e63db335e92e22ea5a9a,Chest-Wall-Lung-Combined-Compliance-Curves.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Chest-Wall-Lung-Combined-Compliance-Curves.png,"P35 - Acute Respiratory Failure | P4 - Mechanics, Compliance and Ventilation | P9 - Pulmonary Physiology Review",compliance | chest wall | elastic recoil,Combined pressure-volume curves show opposing lung and chest-wall recoil and their effect on respiratory-system compliance.
72,b212c30d5133a4790d057e4db344aeec276f80ca897ec92fad45d8d994d4d720,Chlamydia.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Chlamydia.png,P28 - Microbiology of Pneumonia - Bacterial Infections,Microbiology | Diagnostics,Provides a verified lecture-aligned visual anchor for Chlamydia
73,2476092e330639a0554bd58aad442dd4a2a70942204c29267e42188b7d932cd4,Chronic interstitial lung disease.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Chronic interstitial lung disease.jpg,P13 - Pulmonary Problem Solving Exercise Part 1 | P18 - Basic Interpretation of Chest X-Ray,interstitial lung disease | chronic dyspnea | chest CT,High-resolution chest CT showing fibrotic interstitial lung disease as a chronic dyspnea cause.
74,82346a5021ea64d269eae96d28af665d3cd368a672062fd1daa201a59ef5cbb2,Chronic Rhinosinusitis with Nasal Polyps.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Chronic Rhinosinusitis with Nasal Polyps.jpg,P33 - Otolaryngology - Upper Airway Pathology,nasal polyps | chronic rhinosinusitis | CT,Coronal CT showing extensive sinonasal polyposis and opacification.
75,7b43e205ffba2426539dfcccfe528847b979c5b5310cc540d75a28dce3a1f2a0,Chronic-Obstructive-Pulmonary-Disease-Chest-Xray.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Chronic-Obstructive-Pulmonary-Disease-Chest-Xray.jpg,Pulmonary - Comprehensive Study Guide,P19 | P20 | COPD | hyperinflation | chest radiograph,Shows hyperinflation and diaphragmatic flattening on COPD chest radiography.
76,c2c567a1f0085361c6bbe5b65b8513231996fd6328879e4254c600840e49afb2,chronic-silicosis-progressive-massive-fibrosis-chest-xray.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/chronic-silicosis-progressive-massive-fibrosis-chest-xray.png,P24 - Diseases of the Respiratory Tract - Part 2 - Restrictive Disease (Pathology),silicosis | X-ray,Shows upper-lobe progressive massive fibrosis in silicosis.
77,ee71031f474e88c9e31a82ad5ca102855c79ebe5f8f839ee54b3018ae394d197,cigarette-smoke-inflammatory-pathway-copd.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/cigarette-smoke-inflammatory-pathway-copd.png,P15 - Approach to the Patient with Respiratory Disease and Pulmonary Preventative Care,cigarette smoke | COPD | lung injury,"Mechanistic diagram links cigarette smoke to inflammation, mucus hypersecretion, fibrosis, and alveolar destruction."
78,7b4f692edc2f571d9110e04484c2b94261bd3fc96806cbf59aee3c272facbb3d,Classic Pertussis.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Classic Pertussis.png,P15 - Approach to the Patient with Respiratory Disease and Pulmonary Preventative Care | P28 - Microbiology of Pneumonia - Bacterial Infections,pertussis | cough | vaccination,"Timeline shows catarrhal, paroxysmal, and convalescent stages of pertussis."
79,3ccd55dfdbf0bbe40df485ad5c44de858963463936a838f93f538f18eb06df4e,CO2 Transport.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/CO2 Transport.png,"P6 - Gas Exchange, Part 1 - Pressures, Diffusion and Transport | P9 - Pulmonary Physiology Review",CO2 Transport,"Visually verified course-aligned reference for Gas Exchange, Part 1 - Pressures, Diffusion and Transport: CO2 Transport."
80,6386956075ffed446b6b08d9ea4bf95dd6b324d59f9b965c765827c46e28529e,Co2-Transport-Rbc-Tissue-Diagram.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Co2-Transport-Rbc-Tissue-Diagram.png,"P6 - Gas Exchange, Part 1 - Pressures, Diffusion and Transport",Co2 Transport Rbc Tissue Diagram,"Visually verified course-aligned reference for Gas Exchange, Part 1 - Pressures, Diffusion and Transport: Co2 Transport Rbc Tissue Diagram."
81,1812bf06a451e10e09b2871fd3ce88c3a53f7862f0a9c9612463238f274e8e7a,Coccidioidomycosis Histology.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Coccidioidomycosis Histology.png,P26.2 - Lung Infections - Pathology Review and Study Supplement | P30 - Microbiology of Pneumonia - Fungal Infections,Coccidioides | endemic fungi | histology,Shows the tissue spherule morphology of Coccidioides.
82,fbc56e1fef77369ff5f539fd336890832f0f32d90a1942cc44e232e6a238a344,common-etiologies-of-chronic-cough.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/common-etiologies-of-chronic-cough.png,P15 - Approach to the Patient with Respiratory Disease and Pulmonary Preventative Care,chronic cough | differential diagnosis | respiratory symptoms,"Concise differential organizes common upper-airway, lower-airway, parenchymal, and other causes of chronic cough."
83,67e18fc4e1cb3421c19fafec90ec1f430b812190b92e9d26b4d9c69c72303943,Common-Pathogens-in-Hospital-Acquired-Pneumonia.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Common-Pathogens-in-Hospital-Acquired-Pneumonia.png,P31 - Review of Pneumonia - Pathology and Pharmacology,hospital-acquired pneumonia | ventilator-associated pneumonia | pathogens,Compact pathogen chart supports empiric coverage choices for hospital-acquired and ventilator-associated pneumonia.
84,4bf72a1907a7ca01ecbe09c224651e27995e9eab184bc87dcaa80f3dd09d317d,common-pathologies-breath-sounds-percussion.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/common-pathologies-breath-sounds-percussion.png,P13 - Pulmonary Problem Solving Exercise Part 1 | P15 - Approach to the Patient with Respiratory Disease and Pulmonary Preventative Care | P16 - Mystery Illness Review Video,dyspnea differential | auscultation | percussion,"Concise pattern table linking common acute pulmonary disorders to breath sounds, percussion, and tracheal deviation."
85,8fd35daa60d2e0da2a8282c4a9777fda7155f6e1e899914d4c750aab2fb5e55a,Common-Triggers-of-Asthma.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Common-Triggers-of-Asthma.png,P34 - Respiratory Medicine Clinical Case Studies - Obstructive Diseases (Pathophysiology),asthma | triggers | case reasoning,"Compact trigger table aligns with the case differential for allergens, irritants, exercise, infection, and reflux."
86,e6cadd7a8efc3e8211fcdc9d6182f8966af16832e4c0d49a47adff8624fee199,Conducting-and-Respiratory-Zone-Histology-Overview.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Conducting-and-Respiratory-Zone-Histology-Overview.png,P1 - Histology of the Respiratory System Review | P17 - Introduction to Respiratory Pathophysiology | P9 - Pulmonary Physiology Review | Pulmonary - Comprehensive Study Guide,Conducting and Respiratory Zone Histology Overview,Visually verified course-aligned reference for Histology of the Respiratory System Review: Conducting and Respiratory Zone Histology Overview.
87,a81c5496fcbf2f69a8fafd4aa1bd6d75c6462ac4181e9c77664d535f998f6176,Conducting-vs-Respiratory-Zones-Chart.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Conducting-vs-Respiratory-Zones-Chart.png,P2 - Structure and Volumes,Conducting vs Respiratory Zones Chart,Visually verified course-aligned reference for Structure and Volumes: Conducting vs Respiratory Zones Chart.
88,ed97914b374e0f1ae1055662600cbeeb3933a81bc73ecfbe7b1e5f75c70c5d1f,Congenital Diaphragmatic Hernias.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Congenital Diaphragmatic Hernias.jpg,P36 - Pulmonary Developmental Anomalies,diaphragmatic hernia | Bochdalek | Morgagni | anatomy,"Axial anatomy map distinguishes Bochdalek, Morgagni, central, and Larrey diaphragmatic hernia locations."
89,6a28d0410577ff9d7351939ad17790028827acfb68510740a24bd15f733706d7,Congenital-Diaphragmatic-Hernia-Chest-Xray.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Congenital-Diaphragmatic-Hernia-Chest-Xray.jpg,P36 - Pulmonary Developmental Anomalies | Pulmonary - Comprehensive Study Guide,congenital diaphragmatic hernia | chest radiograph | enteric tube,"Annotated neonatal radiographs demonstrate intrathoracic bowel, displaced cardiac silhouette, indistinct hemidiaphragm, and an enteric tube in the chest."
90,517e5c65b0c17287ced77b97d17dc4c35299d407ad70142896070dc30707038d,Congenital-Diaphragmatic-Hernia-Embryology.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Congenital-Diaphragmatic-Hernia-Embryology.jpg,P36 - Pulmonary Developmental Anomalies,congenital diaphragmatic hernia | embryology | pleuroperitoneal fold,Embryology diagram shows pleuroperitoneal-fold failure and the posterolateral defect underlying congenital diaphragmatic hernia.
91,0febbc21f54cc3ce52abfa3dde4415b6f7a13ce1dccceb0d4398295275e356e3,Congenital-Diaphragmatic-Hernia.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Congenital-Diaphragmatic-Hernia.png,P36 - Pulmonary Developmental Anomalies,congenital diaphragmatic hernia | initial management | pulmonary hypoplasia,"Compact comparison summarizes CDH pathogenesis, clinical findings, radiographic clues, and immediate intubation/decompression management."
92,451003e2a2077f4d54c1200a5cc95b4e28bc52962c111ba8c27d33fa47732a38,congestive-heart-failure-chest-xray-findings.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/congestive-heart-failure-chest-xray-findings.png,P13 - Pulmonary Problem Solving Exercise Part 1,heart failure | pulmonary edema | chest radiograph,Annotated ABCDE chest-radiograph findings of cardiogenic pulmonary edema and heart failure.
93,d76c823ebc3fdf05b61f611bcf625eff7327ae7ddc3a216ca75bcbb96a6b2947,COPD Pathophysiology.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/COPD Pathophysiology.png,P34 - Respiratory Medicine Clinical Case Studies - Obstructive Diseases (Pathophysiology),COPD | chronic bronchitis | emphysema,Side-by-side airway mucus narrowing and emphysematous membrane destruction capture the mixed case phenotype.
94,7f4927043163f29b6936306712a07e189235bd9a3c550ffb1a2fc0a9d0fcc0cb,copd-vs-healthy-alveoli-and-airway.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/copd-vs-healthy-alveoli-and-airway.png,P14 - Introduction to Pulmonary Pathophysiology,COPD | emphysema | chronic bronchitis,Contrasts normal airways and alveoli with chronic bronchitis and emphysema changes.
95,df891f3b096539bb9284729c3894035321f2297e975606915636eaa51e65fd0e,Cornona sketchy.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Cornona sketchy.png,P29 - Microbiology of Pneumonia - Viral Infections of the Respiratory Tract | P29 - Microbiology of Pneumonia - Viral Infections of the Respiratory Tract,coronavirus | SARS-CoV-2 | COVID-19 | diagnostics,"Dense but readable coronavirus retrieval map covering SARS-CoV-2 structure, replication, transmission, clinical disease, diagnostics, and immune testing."
96,a9f32fc54277a6b5ed08e4a7e34dc5789c5d472a67f92c947cdffd831635ce7f,Coronavirus SARS-Cov-2 Structure.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Coronavirus SARS-Cov-2 Structure.jpg,P29 - Microbiology of Pneumonia - Viral Infections of the Respiratory Tract,Microbiology | Clinical,Provides a verified lecture-aligned visual anchor for Coronavirus SARS Cov 2 Structure
97,489347deb23c8acab9196f7943bdae2067eeeccab7bea38e4c1d5bc440522df7,Costophrenic sulcus blunting from pleural effusion.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Costophrenic sulcus blunting from pleural effusion.jpg,P18 - Basic Interpretation of Chest X-Ray,pleural effusion | costophrenic angle | meniscus,Shows subtle costophrenic angle blunting and meniscus formation from a small effusion.
98,0fc06d53d75e63eaf49a9414d89f72ab3d6d20fe962d109babed0500536ddec6,Cough and Hemoptysis.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Cough and Hemoptysis.png,P16 - Mystery Illness Review Video,Cough and Hemoptysis,Visually verified aid for the P16 history/examination pattern and structural or suppurative-airway differential: Cough and Hemoptysis.
99,f9a949f379aa638cf974060d0a6b414e4decd14595d68daf4203d6ade0c4b4ca,Cough and Sputum.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Cough and Sputum.png,P16 - Mystery Illness Review Video,Cough and Sputum,Visually verified aid for the P16 history/examination pattern and structural or suppurative-airway differential: Cough and Sputum.
100,ad64a938fcc45146b08139569fbde7bc9b8cd848c1af6b059520ef9afbadcd03,COVID-19 Pneumonia.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/COVID-19 Pneumonia.jpg,P29 - Microbiology of Pneumonia - Viral Infections of the Respiratory Tract,Microbiology | Clinical,Provides a verified lecture-aligned visual anchor for COVID 19 Pneumonia
101,5551693a617932d2d1929b2c28bc35ac86ed95281f387d497784fc68fd37abe4,Croup-Steeple-Sign.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Croup-Steeple-Sign.png,P33 - Otolaryngology - Upper Airway Pathology,croup | steeple sign | radiography,AP neck radiograph showing the subglottic steeple sign of croup.
102,5e4faa80d7635151a8a07c8d71a76a9533e7c3ac374b4d5ec74a41af0215aa52,Croup-Upper-Airway-Anatomy.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Croup-Upper-Airway-Anatomy.jpg,P33 - Otolaryngology - Upper Airway Pathology,croup | subglottic edema | airway anatomy,Sagittal anatomy diagram localizing croup edema to the subglottis/proximal trachea.
103,f80febf77e3bb6e0476e3b2b92b0067eac3dfb65f644d5936adf31033f1f73f5,Crypto Capsule.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Crypto Capsule.png,P30 - Microbiology of Pneumonia - Fungal Infections,Pathology | Microbiology | Pharmacology,Provides a verified lecture-aligned visual anchor for Crypto Capsule
104,0938850e7e8c9a6e31a0da1f5f595740ab363abac3ae2c32548cb4c42168e586,Cryptococcus Neoformans India Ink Stain.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Cryptococcus Neoformans India Ink Stain.png,P30 - Microbiology of Pneumonia - Fungal Infections,Pathology | Microbiology | Pharmacology,Provides a verified lecture-aligned visual anchor for Cryptococcus Neoformans India Ink Stain
105,14f64005a331b6b53feb39aab7c7f3e7ae3786c9e89e29f64da56cdb1a3e01fa,cryptogenic-organizing-pneumonia.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/cryptogenic-organizing-pneumonia.png,P17 - Introduction to Respiratory Pathophysiology | P24 - Diseases of the Respiratory Tract - Part 2 - Restrictive Disease (Pathology),organizing pneumonia | pathologic repair | CT,CT demonstrates patchy consolidation from an organizing inflammatory repair response.
106,bbe4dd313ba93bcb41ee3b9421a12eba9d2888750721b867f4111fe931db88c0,Cystic fibrosis pathophysiology.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Cystic fibrosis pathophysiology.jpg,P20 - Radiology of Obstructive Lung Disease | P38 - Mystery Illness Review Session - Interactive Workshop | Pulmonary - Comprehensive Study Guide,cystic fibrosis | CFTR | mucus,Diagram links defective CFTR to dehydrated airway mucus.
107,e5a60abd9c33c688d74f4b3c9584b89ee8654878d5750e146026ba4f3cc09780,Cystic Fibrosis Sweat Test.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Cystic Fibrosis Sweat Test.jpg,P38 - Mystery Illness Review Session - Interactive Workshop,CF | sweat chloride | CFTR,Shows why CF sweat chloride rises despite reduced airway chloride secretion.
108,c14a25a9a84e61144007f6c79452662d30db3828af7d38c5a5270d5af25a8310,Cystic Fibrosis.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Cystic Fibrosis.jpg,P38 - Mystery Illness Review Session - Interactive Workshop,multiorgan CF | clinical phenotype,"Multiorgan clinical summary connects lung, sinus, pancreas, GI, fertility, and sweat-gland disease."
109,39f4c0d5adf133d29cf21efe7551bde422f9aaf4e70ac4218015c91f1af27f8b,cystic-fibrosis-sweat-duct-pathophysiology.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/cystic-fibrosis-sweat-duct-pathophysiology.jpg,P19 - Obstructive Diseases and Airway Diseases | P38 - Mystery Illness Review Session - Interactive Workshop,cystic fibrosis | CFTR | sweat chloride | airway mucus,"Contrasts CFTR effects in sweat ducts and respiratory mucosa, including dehydrated airway mucus."
110,2b75f78505fe3fdf55670c3f55d3a547ccb45aa4e1a2970576f1450a0e77af52,D Emphysema CT Low Attenuation Bullae.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/D Emphysema CT Low Attenuation Bullae.png,P20 - Radiology of Obstructive Lung Disease,emphysema | bullae | CT,CT demonstrates low-attenuation emphysematous spaces and bullae.
111,64d99ec51daf38b0134844a6b9d8420ecefea64aa1ff6f4792f6c455044887eb,D Squamous Cell Lung Carcinoma Keratin Pearls Histology.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/D Squamous Cell Lung Carcinoma Keratin Pearls Histology.png,"P26 - Diseases of the Respiratory Tract - Part 3 - Vascular, Cancer, Other Disease (Pathology) | P39 - Clinical Pathology & Imaging - Interactive Workshop | Pulmonary - Comprehensive Study Guide",Pathology | Diagnostics,Provides a verified lecture-aligned visual anchor for D Squamous Cell Lung Carcinoma Keratin Pearls Histology
112,9d0b1b5c963e9ad7d5b0cd0d23abe22b0342431d8225be32e2ddcd2311e5a1ce,Dead-Space-Hypercapnia-Response.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Dead-Space-Hypercapnia-Response.png,P35 - Acute Respiratory Failure | P8 - Control of Ventilation,dead space | hypercapnia | minute ventilation,Response diagram links increased dead-space fraction to compensatory minute ventilation and eventual hypercapnia.
113,e9d69328db82f7d37340fe899feb4e3ab5dd4966ed796b5639600c214c2095e2,Diagnosis-of-Cystic-Fibrosis.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Diagnosis-of-Cystic-Fibrosis.png,P38 - Mystery Illness Review Session - Interactive Workshop,CF diagnosis | screening,"Compact diagnostic algorithm integrates newborn screening, sweat chloride, and genetics."
114,b588097e3d3903bb92271bf74d86a359eb3affefcc8d509bb491c936edaad38e,diagnostic-approach-to-pulmonary-embolism.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/diagnostic-approach-to-pulmonary-embolism.png,P13 - Pulmonary Problem Solving Exercise Part 1,pulmonary embolism | diagnostic algorithm | D-dimer,"Clear algorithm connecting hemodynamic stability and pretest probability to D-dimer, CTPA/VQ scanning, or emergent echocardiography."
115,d3a0b92fecb72b0605f20636aaa2624f80d62a348a0665708a1c0b3e4f7e8d5d,Diaphragm-Muscle-Anatomy.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Diaphragm-Muscle-Anatomy.png,P2 - Structure and Volumes,Diaphragm Muscle Anatomy,Visually verified course-aligned reference for Structure and Volumes: Diaphragm Muscle Anatomy.
116,59286e6da8f6f4f4a3805923ecc479653b32aade08398d1e4dfe4f971fc59eaa,Differential diagnoses of pulmonary function testing (PFTs).jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Differential diagnoses of pulmonary function testing (PFTs).jpg,P13 - Pulmonary Problem Solving Exercise Part 1 | P14 - Introduction to Pulmonary Pathophysiology | P15 - Approach to the Patient with Respiratory Disease and Pulmonary Preventative Care,pulmonary function testing | obstructive disease | restrictive disease | DLCO,"Comprehensive PFT interpretation tree separating obstructive, restrictive, mixed, diffusion, and extrapulmonary patterns."
117,2f6b55b11a6dedc60be981a31d97846ffa868ae7bd5b1fb01532f062ca455d73,diffuse-alveolar-damage.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/diffuse-alveolar-damage.jpg,P17 - Introduction to Respiratory Pathophysiology,diffuse alveolar damage | hyaline membranes | lung injury,Annotated histology shows hyaline membranes and alveolar injury in diffuse alveolar damage.
118,ab9d8b39816a8468b5cb6e6101d115590a157bbbd2fb5c88f442ddd8ecbf4169,Diffusion-Impairment-Aa-Gradient.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Diffusion-Impairment-Aa-Gradient.png,"P10 - Physiology Six-Case Workshop | P35 - Acute Respiratory Failure | P7 - Gas Exchange, Part 2 - Causes of Hypoxemia",Diffusion Impairment Aa Gradient,Visually verified course-aligned reference for Physiology Six-Case Workshop: Diffusion Impairment Aa Gradient.
119,b7ffd53db038620f75daa1f3817b4e936343f2a034034104c38ed5f6a1c22758,E_Asthma_Mucus_Plug_Histology.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/E_Asthma_Mucus_Plug_Histology.png,P19 - Obstructive Diseases and Airway Diseases | P34 - Respiratory Medicine Clinical Case Studies - Obstructive Diseases (Pathophysiology),asthma | histology | mucus plug,Histology of an asthmatic small airway with luminal mucus plugging.
120,ab06707700a76beaaa916b2eb101f312f2c07d3d10551158ec43de4e6715ba35,ECG in Pulmonary Hypertension Secondary to an Atrial Septal Defect.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/ECG in Pulmonary Hypertension Secondary to an Atrial Septal Defect.jpg,P32 - Pulmonary Hypertension - A Clinical Reasoning Approach,ECG | right-heart strain,ECG example of right-axis/right-heart strain in pulmonary hypertension.
121,aed5a954e0b46aa4a281a80537564137a8f4b8053d334a35347a5b1c366d09e1,Echocardiogram in Pulmonary Artery Hypertension (1:3).jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Echocardiogram in Pulmonary Artery Hypertension (1:3).jpg,P32 - Pulmonary Hypertension - A Clinical Reasoning Approach,echocardiography | RV pressure overload | ventricular interdependence,Parasternal long-axis echo showing severe RV enlargement and LV compression.
122,7e1b7eb0877376a82c296256bd579cfb7a3f17cc043b087b66bf5b0b1a7d1bdd,Echocardiogram in Pulmonary Artery Hypertension (2:3).jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Echocardiogram in Pulmonary Artery Hypertension (2:3).jpg,P32 - Pulmonary Hypertension - A Clinical Reasoning Approach,echocardiography | septal flattening | ventricular interdependence,Short-axis echo showing an enlarged RV and flattened/compressed LV configuration.
123,208b64414530a995dec801de4175316170a8cf8f231a1619492633a869b8c910,Echocardiogram in Pulmonary Artery Hypertension (3:3).jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Echocardiogram in Pulmonary Artery Hypertension (3:3).jpg,P32 - Pulmonary Hypertension - A Clinical Reasoning Approach,echocardiography | RA enlargement | RV enlargement,Apical four-chamber echo showing marked right-sided chamber enlargement.
124,e6a6898e768954d359dd9b37b1aaa20d1c7cfe559ea76ed31ce0fdffc0d95f72,Effect of Positioning on V:Q Mismatch in Unilateral Pneumonia.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Effect of Positioning on V:Q Mismatch in Unilateral Pneumonia.jpg,P31 - Review of Pneumonia - Pathology and Pharmacology,unilateral pneumonia | positioning | V/Q mismatch,Positioning diagram explains why placing the healthy lung down can improve V/Q matching in unilateral pneumonia.
125,114deb6db3c946aa4e3c5fc6c63bb0d02ce7726ff657eb896168d24ee312d0c9,Effect of Positioning on V:Q Mismatch- ARDS.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Effect of Positioning on V:Q Mismatch- ARDS.jpg,P35 - Acute Respiratory Failure,ARDS | prone positioning | V/Q matching,Prone-positioning diagram shows recruitment and redistribution of ventilation toward better-perfused dependent lung.
126,1a5a551f6fb858d6d596798c3f8005fe3381d1a4a055bad6379701a9edd2c8b5,Eisenmenger-Syndrome.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Eisenmenger-Syndrome.png,P32 - Pulmonary Hypertension - A Clinical Reasoning Approach,Eisenmenger syndrome | congenital heart disease | right-to-left shunt,Diagram of rising PVR and reversal of a congenital left-to-right shunt in Eisenmenger physiology.
127,94d29144cdf01ddff9a20d0989ebf516560290229d89f3e9556f2f20ccd99c37,Emphysema Type.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Emphysema Type.png,P34 - Respiratory Medicine Clinical Case Studies - Obstructive Diseases (Pathophysiology),emphysema | acinar subtypes | pathology,"Diagram distinguishes centriacinar, panacinar, and distal acinar/paraseptal emphysema."
128,7ba6300b6eb7b99615ca4d79d56a69ac3e9b0cdfb6adec58bae445b33bdfa53c,emphysema-vs-normal-chest-ct.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/emphysema-vs-normal-chest-ct.png,P19 - Obstructive Diseases and Airway Diseases | P20 - Radiology of Obstructive Lung Disease | Pulmonary - Comprehensive Study Guide,emphysema | CT | airspace enlargement,CT comparison highlights low-attenuation enlarged airspaces in emphysema.
129,c917b553ebd0edf5953be53c22f7797e6e0cb6760f8226c2f162ae42c5935205,Empyema.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Empyema.png,P27 - Radiology of Pulmonary Infections and Lung Cancer | P31 - Review of Pneumonia - Pathology and Pharmacology | P39 - Clinical Pathology & Imaging - Interactive Workshop,Diagnostics | Pathology,Provides a verified lecture-aligned visual anchor for Empyema
130,dd849e2d43f0530fa32b8eb526f4612e5e0caca818ea1660751387af436c11ec,Enlarged Lymph Nodes in Lung Cancer.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Enlarged Lymph Nodes in Lung Cancer.jpg,P27 - Radiology of Pulmonary Infections and Lung Cancer,Diagnostics | Pathology,Provides a verified lecture-aligned visual anchor for Enlarged Lymph Nodes in Lung Cancer
